               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 139,            0.027933,            0.017269,           0.0043378,             0.96189,             0.88896,             0.95154,             0.70681,            0.021695,           0.0099709,           0.0039191,            0.003032,            0.003032,            0.003032
                 140,            0.028259,            0.017789,           0.0041782,             0.93511,             0.92009,             0.95178,             0.70285,            0.021793,            0.010048,           0.0035513,           0.0030086,           0.0030086,           0.0030086
                 141,            0.027652,            0.016622,           0.0040595,             0.93948,             0.91052,             0.95021,             0.69693,            0.021738,            0.010031,           0.0035711,           0.0029852,           0.0029852,           0.0029852
                 142,            0.027894,            0.017435,           0.0038221,             0.93692,             0.91707,             0.95144,             0.70184,            0.021869,           0.0099318,           0.0036022,           0.0029617,           0.0029617,           0.0029617
                 143,            0.027542,            0.016567,           0.0040074,              0.9341,              0.9134,             0.95206,             0.70318,            0.021825,           0.0099558,            0.003528,           0.0029383,           0.0029383,           0.0029383
                 144,            0.028186,            0.017356,           0.0041655,             0.93944,             0.93654,              0.9556,             0.70639,            0.021794,             0.01004,           0.0030956,           0.0029148,           0.0029148,           0.0029148
                 145,            0.027517,            0.016786,           0.0040758,             0.94175,             0.91381,             0.95539,             0.70657,            0.021705,           0.0099612,           0.0031649,           0.0028913,           0.0028913,           0.0028913
                 146,            0.027503,            0.016388,           0.0038636,             0.94295,             0.91303,             0.94659,             0.70198,            0.021763,           0.0099613,           0.0038588,           0.0028678,           0.0028678,           0.0028678
                 147,            0.027914,             0.01724,           0.0042324,             0.95004,             0.91735,             0.94953,             0.70996,            0.021454,           0.0099531,           0.0034713,           0.0028442,           0.0028442,           0.0028442
                 148,             0.02738,            0.016873,           0.0041497,             0.95157,             0.91186,               0.949,             0.70137,            0.021609,            0.010012,           0.0035148,           0.0028207,           0.0028207,           0.0028207
                 149,            0.027795,            0.017143,            0.003783,             0.93259,              0.9311,             0.95401,             0.70445,            0.021573,           0.0099095,           0.0034214,           0.0027971,           0.0027971,           0.0027971
                 150,            0.027716,            0.017204,           0.0039176,             0.93009,             0.91917,             0.94712,             0.70075,            0.021705,            0.010034,           0.0039584,           0.0027736,           0.0027736,           0.0027736
                 151,            0.027458,            0.016325,           0.0041881,             0.93906,             0.91874,             0.94937,             0.70392,            0.021348,            0.010072,           0.0039606,             0.00275,             0.00275,             0.00275
                 152,            0.027577,            0.017095,           0.0040251,             0.93923,             0.91744,             0.94617,             0.69859,            0.021438,            0.010025,           0.0041359,           0.0027264,           0.0027264,           0.0027264
                 153,            0.027192,             0.01669,           0.0038427,             0.94588,             0.91146,             0.94779,             0.70163,            0.021473,             0.01006,           0.0039721,           0.0027029,           0.0027029,           0.0027029
                 154,            0.027132,            0.016294,           0.0038898,             0.93628,             0.93417,             0.94919,             0.70837,            0.021476,            0.010167,           0.0038264,           0.0026793,           0.0026793,           0.0026793
